14
"Lift Hallway",-2,7,0,0,-0.43,0.89
"Two Sofa Std Affair",1.010,2.916,0,0,-0.421,0.9066
"Escaping Stair ",-2,-1,0,0,0.942,-0.335
"Meeting Room Corner",-5.495,-3.475,0,0,0.936,-0.321
"Meeting Room in Alley",-6.588,-9.696,0,0,0.9,-0.342
"Aj.Nattee's Room ",-10,-7,0,0,-0.434,0.900
"Student Affair Room ",8.336,7.2,0,0,0.943,-0.332
"PhotoCopy Room",9.849,8.62,0,0,0.34,0.932
"Coffee Room", 10.071,11.334,0,0,0.367,0.930
"TeachersRoom Copy", -0.163,20.569,0,0,0.946,-0.323
"TeachersRoom ajnattee", -15.498,7.723,0,0,0.939,-0.342
"ConferenceROom ajnattee", -13.832,8.887,0,0,0.312,0.949
"ConferenceRoom Copy", -2.318,18.512,0,0,0.935,-0.353
"Middle Hallway ConferenceRoom", -7.539,13.043,0,0,-0.408,0.912
